Feature Name,API / Library Used,Offline Mode Available? (Self-Hosted),Must / Good to have
1. Standard Interactive Map,OpenLayers (OSM Source / GeoServer WMS),Yes (GeoServer Tiles),Must
2. Point-to-Point Routing,OSRM API (Docker Container),Yes (OSRM Local),Must
3. Vehicle Movement Animation,OpenLayers Vector Layer (Client-Side JS),Yes (Local JS),Must
4. Address Search (Geocoding),Nominatim API (Docker Container),Yes (Nominatim Local),Good to have
5. Reverse Geocoding (Coords to Address),Nominatim API (Docker Container),Yes (Nominatim Local),Good to have
6. Satellite Imagery Layer,Esri World Imagery (XYZ Source),No (Requires Internet),Good to have
7. Distance & Duration Matrix,OSRM API (`/table/v1/driving`),Yes (OSRM Local),Good to have
8. Geofencing (Zone Alerts),PostGIS (`ST_Contains`) OR Turf.js,Yes (Local DB/JS),Good to have
9. Measurement Tools (Ruler/Area),OpenLayers `ol/interaction/Draw`,Yes (Local JS),Good to have
10. Custom POI Markers (Bus Stops/Offices),GeoServer WFS / PostGIS,Yes (Local DB),Good to have
